T_over_Tc, mu_over_kTc, z
7.052304609218437159e-01,-1.708649811124817591e-02,9.760629004702372491e-01
7.071943887775551385e-01,-1.723747610408155398e-02,9.759202054775782953e-01
7.091583166332665611e-01,-1.739043407627981208e-02,9.757755971439302511e-01
7.111222444889779837e-01,-1.754541205310805249e-02,9.756290374359267714e-01
7.130861723446894063e-01,-1.770245114295103048e-02,9.754804873018145805e-01
7.150501002004008289e-01,-1.786159357421892094e-02,9.753299066371657888e-01
7.170140280561122514e-01,-1.802288273377368466e-02,9.751772542491935480e-01
7.189779559118236740e-01,-1.818636320694737643e-02,9.750224878196072087e-01
7.209418837675350966e-01,-1.835208081923100226e-02,9.748655638659352585e-01
7.229058116232465192e-01,-1.852008267971615163e-02,9.747064377012414349e-01
7.248697394789579418e-01,-1.869041722637461433e-02,9.745450633921574068e-01
7.268336673346693644e-01,-1.886313427326940032e-02,9.743813937151466487e-01
7.287975951903807870e-01,-1.903828505979192690e-02,9.742153801109146860e-01
7.307615230460922096e-01,-1.921592230202905094e-02,9.740469726368713443e-01
7.327254509018036321e-01,-1.939610024636715876e-02,9.738761199175487437e-01
7.346893787575150547e-01,-1.957887472544889151e-02,9.737027690928701240e-01
7.366533066132264773e-01,-1.976430321660251413e-02,9.735268657641620305e-01
7.386172344689378999e-01,-1.995244490287414671e-02,9.733483539377916216e-01
7.405811623246493225e-01,-2.014336073679699052e-02,9.731671759663093058e-01
7.425450901803607451e-01,-2.033711350704379625e-02,9.729832724869642568e-01
7.445090180360721677e-01,-2.053376790811467165e-02,9.727965823574565851e-01
7.464729458917835903e-01,-2.073339061322294202e-02,9.726070425887798354e-01
7.484368737474950128e-01,-2.093605035055215446e-02,9.724145882749982706e-01
7.504008016032064354e-01,-2.114181798306687815e-02,9.722191525197952933e-01
7.523647294589178580e-01,-2.135076659207202354e-02,9.720206663596185903e-01
7.543286573146292806e-01,-2.156297156472874663e-02,9.718190586832351485e-01
7.562925851703407032e-01,-2.177851068574572502e-02,9.716142561475010764e-01
7.582565130260521258e-01,-2.199746423348166585e-02,9.714061830891346228e-01
7.602204408817635484e-01,-2.221991508070707624e-02,9.711947614322715694e-01
7.621843687374749710e-01,-2.244594880029261719e-02,9.709799105915636330e-01
7.641482965931865046e-01,-2.267565377610587449e-02,9.707615473705692999e-01
7.661122244488979272e-01,-2.290912131941972088e-02,9.705395858551663091e-01
7.680761523046093497e-01,-2.314644579115387318e-02,9.703139373017000135e-01
7.700400801603207723e-01,-2.338772473029354648e-02,9.700845100195615300e-01
7.720040080160321949e-01,-2.363305898885285916e-02,9.698512092478690505e-01
7.739679358717436175e-01,-2.388255287377516467e-02,9.696139370259042600e-01
7.759318637274550401e-01,-2.413631429619077576e-02,9.693725920569307153e-01
7.778957915831664627e-01,-2.439445492847837349e-02,9.691270695649997213e-01
7.798597194388778853e-01,-2.465709036961475156e-02,9.688772611443132732e-01
7.818236472945893079e-01,-2.492434031932355340e-02,9.686230546006939779e-01
7.837875751503007304e-01,-2.519632876157623658e-02,9.683643337846727928e-01
7.857515030060121530e-01,-2.547318415803682262e-02,9.681009784156723308e-01
7.877154308617235756e-01,-2.575503965208346402e-02,9.678328638967286235e-01
7.896793587174349982e-01,-2.604203328408915066e-02,9.675598611191499332e-01
7.916432865731464208e-01,-2.633430821869251967e-02,9.672818362564702399e-01
7.936072144288578434e-01,-2.663201298484520890e-02,9.669986505470066218e-01
7.955711422845692660e-01,-2.693530172948218823e-02,9.667101600642776793e-01
7.975350701402806886e-01,-2.724433448572494490e-02,9.664162154744860844e-01
7.994989979959921111e-01,-2.755927745659968175e-02,9.661166617802050549e-01
8.014629258517035337e-01,-2.788030331532645109e-02,9.658113380493462685e-01
8.034268537074149563e-01,-2.820759152332001640e-02,9.655000771284130145e-01
8.053907815631263789e-01,-2.854132866713439062e-02,9.651827053389641087e-01
8.073547094188378015e-01,-2.888170881567958190e-02,9.648590421561320518e-01
8.093186372745492241e-01,-2.922893389914864998e-02,9.645288998679446557e-01
8.112825651302606467e-01,-2.958321411121141858e-02,9.641920832140978836e-01
8.132464929859720693e-01,-2.994476833615614814e-02,9.638483890027229606e-01
8.152104208416834918e-01,-3.031382460280746677e-02,9.634976057035626873e-01
8.171743486973949144e-01,-3.069062056719603498e-02,9.631395130158499907e-01
8.191382765531063370e-01,-3.107540402612985267e-02,9.627738814090311958e-01
8.211022044088177596e-01,-3.146843346400077929e-02,9.624004716343218524e-01
8.230661322645291822e-01,-3.186997863536005643e-02,9.620190342049145249e-01
8.250300601202406048e-01,-3.228032118602780498e-02,9.616293088424603397e-01
8.269939879759520274e-01,-3.269975531573883487e-02,9.612310238872490142e-01
8.289579158316634500e-01,-3.312858848560562564e-02,9.608238956692751742e-01
8.309218436873748725e-01,-3.356714217397450267e-02,9.604076278371324049e-01
8.328857715430862951e-01,-3.401575268458147810e-02,9.599819106413992609e-01
8.348496993987977177e-01,-3.447477201128038710e-02,9.595464201688747030e-01
8.368136272545091403e-01,-3.494456876401801082e-02,9.591008175236853672e-01
8.387775551102205629e-01,-3.542552916117877593e-02,9.586447479509134784e-01
8.407414829659319855e-01,-3.591805809391688392e-02,9.581778398979826639e-01
8.427054108216434081e-01,-3.642258026864262505e-02,9.576997040085839519e-01
8.446693386773548307e-01,-3.693954143444455607e-02,9.572099320434140912e-01
8.466332665330662532e-01,-3.746940970290528472e-02,9.567080957214415537e-01
8.485971943887776758e-01,-3.801267696853106309e-02,9.561937454747858611e-01
8.505611222444890984e-01,-3.856986043885950177e-02,9.556664091096028768e-01
8.525250501002005210e-01,-3.914150428425610534e-02,9.551255903645924361e-01
8.544889779559119436e-01,-3.972818141846846951e-02,9.545707673578788244e-01
8.564529058116233662e-01,-4.033049542219366984e-02,9.540013909120464985e-01
8.584168336673347888e-01,-4.094908262324185866e-02,9.534168827460337559e-01
8.603807615230462114e-01,-4.158461434838019166e-02,9.528166335213672511e-01
8.623446893787576339e-01,-4.223779936361708731e-02,9.522000007288660139e-01
8.643086172344690565e-01,-4.290938652159227706e-02,9.515663064004032945e-01
8.662725450901804791e-01,-4.360016763687379893e-02,9.509148346285983822e-01
8.682364729458919017e-01,-4.431098061239194252e-02,9.502448288753599925e-01
8.702004008016033243e-01,-4.504271284298386191e-02,9.495554890480092380e-01
8.721643286573147469e-01,-4.579630492513959289e-02,9.488459683192248528e-01
8.741282565130261695e-01,-4.657275470558518843e-02,9.481153696642361517e-01
8.760921843687375921e-01,-4.737312170537579664e-02,9.473627420854916492e-01
8.780561122244490146e-01,-4.819853196077966001e-02,9.465870764913945079e-01
